펀드코드,펀드명,약정_에쿼티,약정_대출액,AUM_합계
112042,43호,54800000000,54800000000,128800000000
112055,59호,30300000000,30300000000,77571524187
112092,98호,246614030000,246614030000,246614030000
112095,109호,151996094665,151996094665,151996094665
112191,163호,54934662510,54934662510,129171390460
112197,170호,88846000000,88846000000,88846000000
112278,243호,80703566000,80703566000,152144485900
112308,292호,432234076003,432234076003,432234076003
112341,312호,46598300000,46598300000,46598300000
112362,316호,32060795500,32060795500,83916015400
112380,기회추구 2호,137700000000,83110000000,137700000000
112445,리빙플랫폼 1호,51500000000,51500000000,51500000000
112471,기회추구2-2-1호,51269471360,51269471360,51269471360
112474,384호,10307990631,10307990631,10307990631
112483,378호,177492387666,177492387666,544149587666
112502,지엘아이피1-1호,0,0,0
112503,지엘아이피1-2호,0,0,0
112560,401호,190407884361,190407884361,378055529180
112564,다이나믹글로벌리츠1호,10000000000,10000000000,10000000000
112623,448-3호,90657000000,85969157657,90657000000
112624,448-4호,38853000000,37910548831,38853000000
112704,475호,600000000,600000000,600000000
112721,장기지분형1-1호(운용),120000000000,120000000000,120000000000
112745,501호,205100000000,62100000000,205100000000
112748,안산,10350000000,19958498000,95450000000
112763,멀티인컴3호,20999510240,20999510240,20999510240
112781,K본드알파1호,10239630498,10239630498,10239630498
112782,멀티플러스1호,9000000000,9000000000,9000000000
112785,482호,31000000000,31000000000,31000000000
120001,517-1호,64000000000,59000000000,183000000000
120015,도심포트폴리오,59289114332,59289114332,59384114332
120018,랜드플랫폼1-2호,14853600000,2353600000,14853600000
120023,애월엔터,7000000000,7000000000,7000000000
120028,인컴앤그로스2-4-4호,46700000000,46700000000,46700000000
120057,SBW턴어라운드,49000000000,49000000000,49000000000
120063,562의1호,26000000000,26000000000,26000000000
190010,426-1호,38000000000,38000000000,38000000000
200023,551호,321523740000,221285431176,321523740000
300010,다이나믹글로벌2호,10000000000,10000000000,10000000000
300011,올인원K리츠,11815893392,11815893392,11815893392
300017,공모주2호,14462498053,14462498053,14462498053
300032,하이일드2호,10682356798,10682356798,10682356798
300051,BDC1호,2999961788,2999961788,2999961788
300063,K-프런티어1호,6843357518,6843357518,6843357518
300067,초단기채1호,27393745594,27393745594,27393745594
P00010,P성수PFV1,10000000000,10000000000,177128688100
P00027,P수서역환승센터,70300000000,70300000000,1272920000000
P00028,P디에스,5250000000,5250000000,53900000000
P00031,P수택센트럴,5000000000,5000000000,16000000000
P00038,애월PFV,10000000000,10000000000,10000000000
R00006,R데이터센터,11589069784,11589069784,14070451630
R00008,R레지던스,301492543423,301492543423,398492543423
R00010,R글로벌레지던스,122688647954,122688647954,122688647954
R00011,R이지스밸류플러스,467821353810,467821351810,562146840147
376,합계,0,0,0
